Iterations,Train Accuracy,Test Accuracy
1,0.0847515891171,0.0892608496922
11,0.114285235971,0.102820541102
21,0.113449397936,0.112062074141
31,0.126620739789,0.111226912774
41,0.116315787292,0.103151229513
51,0.110720348918,0.111723427995
61,0.0990525733455,0.0948515325249
71,0.12695981764,0.117898826187
81,0.109955492853,0.12777644565
91,0.0991646425689,0.1239008949
101,0.0922114523069,0.106471892591
111,0.101839995957,0.103788137123
121,0.0998884090191,0.128986117053
131,0.100187692839,0.112368692624
141,0.099593668267,0.112339030317
151,0.110457927159,0.115804081888
161,0.111598366755,0.11084965396
171,0.104563891882,0.100206560403
181,0.11002914569,0.118670255839
191,0.10881470596,0.10395907472
201,0.100392315161,0.125129604056
211,0.130887748931,0.100314435964
221,0.120605255762,0.11993341775
231,0.109420060742,0.0972294289909
241,0.107455941919,0.100575903009
251,0.110844020896,0.120313424418
261,0.11990342586,0.117114753961
271,0.122785457833,0.109220268342
281,0.120130782724,0.120663412939
291,0.126942787791,0.126580598242
