Iterations,Train Accuracy,Test Accuracy
1,0.333333333333,0.333333333333
11,0.628628456102,0.473585108417
21,0.515550770895,0.462279877
31,0.590437505643,0.561748888596
41,0.625366020149,0.467244700116
51,0.550473773362,0.534473694058
61,0.535521189869,0.48197914662
71,0.641627428745,0.391380674407
81,0.592982323991,0.539879119806
91,0.631252974677,0.473510418835
101,0.648381937475,0.534295951205
111,0.589421919545,0.56437149609
121,0.569070370221,0.468646412164
131,0.648295556237,0.437476612783
141,0.615039791235,0.525981979979
151,0.553585987691,0.445717985068
161,0.596316282966,0.538523825561
171,0.628613541483,0.479429004426
181,0.597658248157,0.448680693652
191,0.655004311025,0.566077410681
201,0.573332852718,0.528680864876
211,0.562256081306,0.545816431044
221,0.532963235809,0.47277218461
231,0.613026528549,0.515565313312
241,0.587404387018,0.394479347082
251,0.622759044034,0.499943186599
261,0.610423917921,0.533442769638
271,0.657472055562,0.505519402527
281,0.611611663888,0.539478024034
291,0.573691199483,0.560290932787
