Iterations,Train Accuracy,Test Accuracy
1,0.850188629767,0.755847069597
11,0.962908169999,0.924162087912
21,0.944182584514,0.914102564103
31,0.953792981914,0.903470695971
41,0.943917584983,0.913786630037
51,0.948445022001,0.898402014652
61,0.964551201459,0.937866300366
71,0.960017900419,0.93005952381
81,0.958905802499,0.910238095238
91,0.9500839732,0.920100732601
101,0.946090293655,0.908475274725
111,0.952667037237,0.937806776557
121,0.963816427161,0.937733516484
131,0.948372401001,0.926607142857
141,0.958003195015,0.931080586081
151,0.962775436149,0.908182234432
161,0.952416495323,0.901048534799
171,0.94624998805,0.916666666667
181,0.934032758012,0.911565934066
191,0.965246244563,0.941460622711
201,0.94115687196,0.926840659341
211,0.97116488718,0.900467032967
221,0.945522863572,0.900256410256
231,0.964836566358,0.922577838828
241,0.948172009994,0.8875
251,0.951588779668,0.933608058608
261,0.950618296388,0.933003663004
271,0.956950925538,0.917738095238
281,0.966568072357,0.915357142857
291,0.962747225692,0.937967032967
