Iterations,Train Accuracy,Test Accuracy
1,0.130653287164,0.145411070565
11,0.130659036076,0.13694122286
21,0.136270063302,0.140055830861
31,0.130194271789,0.140972351833
41,0.135066364017,0.140301488862
51,0.138545388873,0.149694510562
61,0.138789306079,0.141182118466
71,0.139701728887,0.144019547786
81,0.138520671305,0.150020467811
91,0.13832145039,0.145942092924
101,0.130284065996,0.141018800955
111,0.135861434425,0.138654154527
121,0.135823445717,0.141708084487
131,0.134948680782,0.144134710783
141,0.130532286406,0.142603185279
151,0.130422797832,0.142556590086
161,0.128919779856,0.141745036406
171,0.134617037245,0.141804921418
181,0.137607578227,0.142869420887
191,0.134284848071,0.148698028896
201,0.134899885711,0.13445216782
211,0.136336069171,0.136828505129
221,0.135474169246,0.13621755189
231,0.13427931174,0.137002465741
241,0.135035342238,0.148769694684
251,0.1351169292,0.147960189317
261,0.134281134615,0.135715861538
271,0.131331721007,0.13659106359
281,0.130598240026,0.137745914364
291,0.133302851585,0.138617020443
