Iterations,Train Accuracy,Test Accuracy
1,0.602844938891,0.596077598547
11,0.631370511385,0.594061810877
21,0.643409104218,0.582297104995
31,0.643309441562,0.575786724235
41,0.635334561411,0.57279681633
51,0.625430510992,0.563735813086
61,0.628260584058,0.566297212891
71,0.633873362036,0.572613931617
81,0.630749459211,0.560251047532
91,0.634311029188,0.564694886136
101,0.634244023068,0.558864685026
111,0.629134426252,0.567093758989
121,0.628154255291,0.564265159392
131,0.62513242049,0.568989110041
141,0.632185191936,0.569945745803
151,0.624084911664,0.564088367901
161,0.616034349935,0.561389349362
171,0.614393415903,0.564088367901
181,0.612602987959,0.564406434059
191,0.60983609489,0.564406434059
201,0.610521618142,0.563770301743
211,0.609982923047,0.563770301743
221,0.605776209955,0.564088367901
231,0.605776432085,0.568669825239
241,0.609909009902,0.568671043883
251,0.609275408247,0.568033692924
261,0.613147206009,0.558687893535
271,0.61028408324,0.559005959693
281,0.608521230728,0.559324025851
291,0.607830406651,0.559325244495
