Training Data Percentage,Train Time,Test Time
0.01,0.00223347618885,0.0010694874145
0.04,0.00248736044159,0.00142950939335
0.07,0.0141762619605,0.0035878781564
0.1,0.027188535154,0.00680304012349
0.13,0.0351749579859,0.00670113380329
0.16,0.0410492048904,0.00642644514301
0.19,0.0420220752349,0.00636685286736
0.22,0.0505874952141,0.006096748235
0.25,0.052443318571,0.00613377302943
0.28,0.064120936353,0.00620888044796
0.31,0.0708798993437,0.00692434037774
0.34,0.0806392805534,0.00565280341107
0.37,0.0742512706493,0.00547367396939
0.4,0.0825631589978,0.00528537647915
0.43,0.0897840502876,0.00480863827397
0.46,0.0816350710083,0.00459671544377
0.49,0.0865815825309,0.00438161905913
0.52,0.0942115095604,0.00580372349214
0.55,0.107854614595,0.00559567945311
0.58,0.124314424364,0.00535096324165
0.61,0.11654415576,0.0035889360006
0.64,0.123240352928,0.00466618099745
0.67,0.123775625558,0.00326206003228
0.7,0.137040725145,0.00297820333071
0.73,0.132922511002,0.00282693062763
0.76,0.138589771705,0.00349196633033
0.79,0.154103510016,0.00233185633988
0.82,0.148962353902,0.00213685912604
0.85,0.16674306702,0.00195208781224
0.88,0.143277462339,0.00185123934352
0.91,0.156230495864,0.00138649011933
0.94,0.15573401111,0.00125390612084
0.97,0.157996754519,0.000891415817023
