Iterations,Train Accuracy,Test Accuracy
1,0.668509874744,0.672152014652
11,0.915014380209,0.870627289377
21,0.925421503266,0.885782967033
31,0.933675520928,0.894377289377
41,0.934134124824,0.892037545788
51,0.937079352566,0.897870879121
61,0.937112688279,0.894281135531
71,0.933125246875,0.895370879121
81,0.935569956064,0.904913003663
91,0.93864913495,0.89690018315
101,0.938704752302,0.889418498168
111,0.937718049906,0.889418498168
121,0.937793807482,0.89673992674
131,0.937819009094,0.898960622711
141,0.937829657049,0.90282967033
151,0.940279427627,0.898759157509
161,0.939340902107,0.902509157509
171,0.939389777962,0.904294871795
181,0.938605320484,0.905544871795
191,0.938634056116,0.900128205128
201,0.935294962414,0.900425824176
211,0.936245489455,0.904175824176
221,0.937025059347,0.904432234432
231,0.937887128313,0.906675824176
241,0.937887128313,0.90472985348
251,0.937887128313,0.900723443223
261,0.938749197279,0.902806776557
271,0.937806309347,0.90489010989
281,0.939501711646,0.901259157509
291,0.937914010033,0.899473443223
