Training Data Percentage,Train Time,Test Time
0.01,0.000922446119148,0.000732032928681
0.04,0.00178177379075,0.000818071480353
0.07,0.00289780665116,0.000758831822168
0.1,0.00434812044568,0.000802908949481
0.13,0.00535801558453,0.000775052205427
0.16,0.00698322741846,0.000777873141487
0.19,0.00800193798295,0.000742611439819
0.22,0.00881048880456,0.000760242290198
0.25,0.0102269513654,0.00077681529001
0.28,0.0120584441547,0.000739790503758
0.31,0.0128796891895,0.000712286376256
0.34,0.0155775619914,0.000909399288503
0.37,0.0144639974496,0.000691834588906
0.4,0.0176276773327,0.000692539822921
0.43,0.017081473572,0.000678435142618
0.46,0.0205593352184,0.000642115589471
0.49,0.0242695714787,0.000691481971444
0.52,0.0270044690678,0.00069641861046
0.55,0.023991356652,0.000623074270152
0.58,0.0352507706448,0.000679140375723
0.61,0.0234514999975,0.000582523313824
0.64,0.0296691958711,0.00057793929227
0.67,0.0337186497027,0.000510942058099
0.7,0.0491699748018,0.000618490249508
0.73,0.0324435865668,0.00126025322152
0.76,0.0334488976841,0.000575470972763
0.79,0.0383763678892,0.000420319485784
0.82,0.0406951773984,0.00038294208116
0.85,0.0344933492906,0.000331459996232
0.88,0.0346999828625,0.000299724465549
0.91,0.036542759397,0.000234490316871
0.94,0.041582361815,0.000197818147171
0.97,0.0426754745695,0.000196055062588
