Training Data Percentage,Train Time,Test Time
0.01,0.000602975102083,0.000553256097191
0.04,0.00108676565287,0.000651988862955
0.07,0.00117809345829,0.000635063246591
0.1,0.00166999419889,0.000913983312785
0.13,0.00272643478093,0.00085721196956
0.16,0.00284068269684,0.00065022578201
0.19,0.00268482597312,0.000640705125988
0.22,0.00305048982409,0.000589223032875
0.25,0.00352687541454,0.00061038005515
0.28,0.00408647862059,0.000611437906628
0.31,0.00419332157617,0.000776110056904
0.34,0.00455757495365,0.000537388332305
0.37,0.00612037357496,0.000801145863079
0.4,0.00744409785693,0.000779283611337
0.43,0.00738838437246,0.000534214785148
0.46,0.00622086942894,0.00048484839499
0.49,0.00662391068181,0.000479559137602
0.52,0.00684746987099,0.000440418654762
0.55,0.00710805384733,0.000427019207564
0.58,0.00745784992614,0.00044323959446
0.61,0.00786300688196,0.000396694144001
0.64,0.00804601510754,0.000375537121727
0.67,0.0085682409117,0.000389994420402
0.7,0.00880096814217,0.000362842911272
0.73,0.00908835101291,0.000326170746121
0.76,0.0106419815929,0.000423493038397
0.79,0.0134022676139,0.000427019207564
0.82,0.0105693424848,0.00028244623536
0.85,0.0103285050718,0.000271162483841
0.88,0.0107110945246,0.000242247893766
0.91,0.0109452322286,0.000221090871491
0.94,0.0114152707101,0.00019217627414
0.97,0.0129153035086,0.000240132183535
