Training Data Percentage,Train Time,Test Time
0.01,0.000735559100576,0.008620428227
0.04,0.000772231273004,0.011918455195
0.07,0.000909751899599,0.0181989169068
0.1,0.00094712930877,0.019282508998
0.13,0.00114671054325,0.0289011960049
0.16,0.00124332759879,0.0230156653633
0.19,0.00146053968638,0.024595389601
0.22,0.00138543226785,0.0342310022243
0.25,0.00228742659237,0.0357564234437
0.28,0.00163473249268,0.0284523145456
0.31,0.00178565257374,0.0282957525924
0.34,0.00183008232125,0.0309886887553
0.37,0.00285090858961,0.0332799941316
0.4,0.00211958089494,0.0344136578424
0.43,0.00239039076405,0.0401034860406
0.46,0.00224475993309,0.0314580220002
0.49,0.00236394448439,0.0405312104849
0.52,0.00292601600813,0.041069304054
0.55,0.0027408920796,0.0312686666657
0.58,0.00291931629181,0.0357081149123
0.61,0.00452724989009,0.0309661212596
0.64,0.00323737684084,0.027305603995
0.67,0.00347010407131,0.0269808437224
0.7,0.00327616470895,0.0234758305742
0.73,0.00363477621431,0.0259226400594
0.76,0.00543206516159,0.0225043706887
0.79,0.00422470448393,0.02725553239
0.82,0.00429981191701,0.0159686142651
0.85,0.00425079814886,0.0133874576932
0.88,0.00442604880664,0.0111451660778
0.91,0.00417392764211,0.0128380803799
0.94,0.00653223025438,0.00612989423826
0.97,0.00443345376698,0.00343131619593
