Training Data Percentage,Train Time,Test Time
0.01,0.00114388960549,0.00992370072971
0.04,0.000899173395187,0.0234634889761
0.07,0.000961233990306,0.0323490852057
0.1,0.00113049015881,0.0466988347418
0.13,0.00129128351889,0.0532003873145
0.16,0.00173981236543,0.0751303448806
0.19,0.00174580685473,0.0745721521415
0.22,0.00192881508693,0.0811332969903
0.25,0.00221760842444,0.0870889984196
0.28,0.00224017591358,0.0890625958678
0.31,0.00272079290873,0.106743870987
0.34,0.00342144292294,0.116857984907
0.37,0.00344224732699,0.122842953548
0.4,0.00446871546557,0.116536398186
0.43,0.00440665487045,0.123159251013
0.46,0.00418203783016,0.111256310963
0.49,0.00444896891258,0.11107224488
0.52,0.00451561352893,0.104102416908
0.55,0.00477725535608,0.119240618095
0.58,0.00578679787781,0.107610603617
0.61,0.00616727163993,0.102550196796
0.64,0.00660557459296,0.100575894113
0.67,0.0066722192093,0.0926152123213
0.7,0.00718598220412,0.10017426333
0.73,0.00751532649867,0.083854089899
0.76,0.00791801513291,0.0800380685332
0.79,0.00856365689236,0.0714010673012
0.82,0.00922446118357,0.0614953500394
0.85,0.0179411538616,0.0628490467704
0.88,0.00944519943666,0.0464703389143
0.91,0.00977207541209,0.0356717953637
0.94,0.0105182130216,0.0238626514402
0.97,0.0108563727416,0.0126261575535
