Training Data Percentage,Train Time,Test Time
0.01,0.000905167878955,0.00596522208798
0.04,0.00353745392204,0.0145281737423
0.07,0.00839722165983,0.0173815506569
0.1,0.0154245262092,0.0242022216262
0.13,0.0242142106072,0.0279110474221
0.16,0.0318765784032,0.0269843698989
0.19,0.0476985039859,0.0294749038949
0.22,0.0676418172734,0.040495596164
0.25,0.0803628288049,0.0425813258262
0.28,0.0932640276369,0.0416617006413
0.31,0.111709776451,0.0439889729605
0.34,0.116504662656,0.0421853369189
0.37,0.123335206903,0.0482729171054
0.4,0.166765987124,0.047627980588
0.43,0.181915472065,0.0551694007372
0.46,0.164626307065,0.0430379648678
0.49,0.191174489715,0.0458737109147
0.52,0.207453406954,0.0546986570189
0.55,0.257319800359,0.0573016758499
0.58,0.245341400274,0.0486026140206
0.61,0.243952794452,0.0409578770777
0.64,0.291356863236,0.0421705269982
0.67,0.291595937568,0.0436680914718
0.7,0.357745127003,0.03620812585
0.73,0.357814592557,0.0355466163237
0.76,0.419205215345,0.0363840817445
0.79,0.402231289961,0.0283458242047
0.82,0.474915177976,0.0252635988509
0.85,0.480303166005,0.0223305304971
0.88,0.482566614643,0.0177211208429
0.91,0.512780251192,0.0135549507759
0.94,0.553811472608,0.00932777797425
0.97,0.591860964516,0.0048869192542
