Training Data Percentage,Train Time,Test Time
0.01,0.00151590055611,0.00631642864028
0.04,0.00433754193364,0.0142404382641
0.07,0.0108655407821,0.0227660125165
0.1,0.0200244152002,0.0318956197225
0.13,0.0331608095803,0.0397166651746
0.16,0.047749633457,0.0544973127035
0.19,0.0588866893449,0.0434685102373
0.22,0.0653353493617,0.0473670439897
0.25,0.0819443161308,0.0493159582475
0.28,0.0960137351358,0.0529126518304
0.31,0.103402119516,0.0507630984866
0.34,0.1160124093,0.0518808944325
0.37,0.131062808847,0.050727131551
0.4,0.140241782436,0.0526171587626
0.43,0.161727089944,0.0537994836268
0.46,0.176975307644,0.0509397596106
0.49,0.185155669838,0.0489234955021
0.52,0.215568182379,0.0499831096458
0.55,0.231648576235,0.0487993743154
0.58,0.24858441898,0.0453705264372
0.61,0.27606985766,0.0502867128962
0.64,0.298074217419,0.0425351329977
0.67,0.299594701995,0.0410735354599
0.7,0.362272024286,0.038232852763
0.73,0.344484258829,0.0356612168544
0.76,0.36989419374,0.0326297683496
0.79,0.493981180123,0.0306875538154
0.82,0.473699354494,0.0255883591308
0.85,0.499477421581,0.0209588502985
0.88,0.461527720283,0.0178173852837
0.91,0.539148599164,0.0148113252071
0.94,0.610192465421,0.00978900102928
0.97,0.65526044646,0.0064666434846
